v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,6941,0x13c8b20,12,FunctionPrototypeBind
code-creation,Builtin,3,6950,0x13c8b40,896,FastFunctionPrototypeBind
code-creation,Builtin,3,6958,0x13c8ee0,47,FunctionPrototypeCall
code-creation,Builtin,3,6966,0x13c8f20,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,6975,0x13c9080,12,FunctionPrototypeToString
code-creation,Builtin,3,6983,0x13c90a0,205,CreateIterResultObject
code-creation,Builtin,3,6992,0x13c9180,830,CreateGeneratorObject
code-creation,Builtin,3,7000,0x13c94c0,12,GeneratorFunctionConstructor
code-creation,Builtin,3,7008,0x13c94e0,516,GeneratorPrototypeNext
code-creation,Builtin,3,7017,0x13c9700,524,GeneratorPrototypeReturn
code-creation,Builtin,3,7025,0x13c9920,528,GeneratorPrototypeThrow
code-creation,Builtin,3,7034,0x13c9b40,12,AsyncFunctionConstructor
code-creation,Builtin,3,7042,0x13c9b60,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,7052,0x13c9ba0,12,GlobalDecodeURI
code-creation,Builtin,3,7060,0x13c9bc0,12,GlobalDecodeURIComponent
code-creation,Builtin,3,7068,0x13c9be0,12,GlobalEncodeURI
code-creation,Builtin,3,7076,0x13c9c00,12,GlobalEncodeURIComponent
code-creation,Builtin,3,7084,0x13c9c20,12,GlobalEscape
code-creation,Builtin,3,7092,0x13c9c40,12,GlobalUnescape
code-creation,Builtin,3,7099,0x13c9c60,12,GlobalEval
code-creation,Builtin,3,7107,0x13c9c80,145,GlobalIsFinite
code-creation,Builtin,3,7130,0x13c9d20,137,GlobalIsNaN
code-creation,Builtin,3,7139,0x13c9dc0,12,JsonParse
code-creation,Builtin,3,7168,0x13c9de0,12,JsonStringify
code-creation,Builtin,3,7188,0x13c9e00,3737,LoadIC
code-creation,Builtin,3,7197,0x13caca0,3213,LoadIC_Megamorphic
code-creation,Builtin,3,7207,0x13cb940,3265,LoadIC_Noninlined
code-creation,Builtin,3,7217,0x13cc620,52,LoadICTrampoline
